Model,Val Accuracy,Val Precision,Val Recall,Val F1,Test Accuracy,Test Precision,Test Recall,Test F1
Logistic Regression,0.8473282442748091,0.855601163012152,0.8473282442748091,0.8472432498647597,0.844106463878327,0.8459158088161873,0.844106463878327,0.8438028319076398
Multinomial Naive Bayes,0.8473282442748091,0.8490886395958683,0.8473282442748091,0.8471648910597835,0.8593155893536122,0.8594209597654017,0.8593155893536122,0.8590246374051995
Linear SVM,0.8320610687022901,0.8423037900319246,0.8320610687022901,0.8316853573396648,0.8403041825095057,0.844966583471045,0.8403041825095057,0.8405087172870892
